ontonotes_shimaoka,bbn,figer
/location,/LOCATION,/location
/location/celestial,-,-
/location/city,/GPE/CITY,/location/city
/location/country,/GPE/COUNTRY,/location/country
/location/geography,-,/geography
/location/park,-,/park
/location/structure,-,-
/location/transit,-,/transit
/location/geography/body_of_water,-,/location/body_of_water
/location/geography/island,-,/geography/island
/location/geography/mountain,-,/geography/mountain
/location/structure/airport,/FACILITY/AIRPORT,/building/airport
/location/structure/government,/ORGANIZATION/GOVERNMENT,/government
/location/structure/hospital,/ORGANIZATION/HOSPITAL,/building/hospital
/location/structure/hotel,/ORGANIZATION/HOTEL,/building/hotel
/location/structure/restaurant,-,/building/restaurant
/location/structure/sports_facility,-,/building/sports_facility
/location/structure/theater,-,/building/theater
/location/transit/bridge,/FACILITY/BRIDGE,/location/bridge
/location/transit/railway,-,/rail/railway
/location/transit/road,-,/transportation/road
/organization,/ORGANIZATION,/organization
/organization/company,/ORGANIZATION/CORPORATION,/organization/company
/organization/education,/ORGANIZATION/EDUCATIONAL,/organization/educational_institution
/organization/government,/ORGANIZATION/GOVERNMENT,/government
/organization/military,-,/military
/organization/music,-,-
/organization/political_party,/ORGANIZATION/POLITICAL,/government/political_party
/organization/sports_league,-,/organization/sports_league
/organization/sports_team,-,/organization/sports_team
/organization/stock_exchange,-,/finance/stock_exchange
/organization/transit,-,-
/organization/company/broadcast,-,-
/organization/company/news,-,/news_agency
/person,/PERSON,/person
/person/artist,-,/person/artist
/person/athlete,-,/person/athlete
/person/coach,-,/person/coach
/person/doctor,-,/person/doctor
/person/legal,-,-
/person/military,-,/person/soldier
/person/political_figure,-,/person/politician
/person/religious_leader,-,/person/religious_leader
/person/title,-,/title
/person/artist/actor,-,/person/actor
/person/artist/author,-,/person/author
/person/artist/director,-,/person/director
/person/artist/music,-,/person/musician
/other,-,-
/other/art,/WORK_OF_ART,/art
/other/award,-,/award
/other/body_part,-,/body_part
/other/currency,-,/finance/currency
/other/event,/EVENT,/event
/other/food,/SUBSTANCE/FOOD,/food
/other/health,-,-
/other/heritage,-,-
/other/internet,-,/internet
/other/language,/LANGUAGE,/language
/other/legal,/LAW,/law
/other/living_thing,-,/livingthing
/other/product,/PRODUCT,/product
/other/religion,/ORGANIZATION/RELIGIOUS,/religion
/other/scientific,-,-
/other/sports_and_leisure,-,-
/other/supernatural,-,-
/other/art/broadcast,-,/broadcast
/other/art/film,/WORK_OF_ART/PLAY,/art/film
/other/art/music,/WORK_OF_ART/SONG,/music
/other/art/stage,/WORK_OF_ART/PLAY,/play
/other/art/writing,/WORK_OF_ART/BOOK,/written_work
/other/event/accident,-,-
/other/event/election,-,/event/election
/other/event/holiday,-,-
/other/event/natural_disaster,-,/event/natural_disaster
/other/event/protest,-,/event/protest
/other/event/sports_event,-,/event/sports_event
/other/event/violent_conflict,/EVENT/WAR,/event/military_conflict
/other/health/malady,/DISEASE,/disease
/other/health/treatment,/SUBSTANCE/DRUG,/medicine/medical_treatment
/other/language/programming_language,-,/computer/programming_language
/other/living_thing/animal,/ANIMAL,/living_thing/animal
/other/product/car,/PRODUCT/VEHICLE,/product/car
/other/product/computer,-,/product/computer
/other/product/mobile_phone,-,/product/mobile_phone
/other/product/software,-,/software
/other/product/weapon,/PRODUCT/WEAPON,/product/weapon
