,Type,precision,recall,f1-score,sourcedataset
0,/building/theater,0.0,0.0,-1.0,ontonotes_shimaoka
1,/geography/island,0.0,0.0,-1.0,ontonotes_shimaoka
2,/event/military_conflict,0.0,0.0,-1.0,ontonotes_shimaoka
3,/location/bridge,0.0,0.0,-1.0,ontonotes_shimaoka
4,/award,0.0,0.0,-1.0,ontonotes_shimaoka
5,/building/hospital,0.0,0.0,-1.0,ontonotes_shimaoka
6,/person,0.9004149436950684,0.8893442749977112,0.8948453664779663,ontonotes_shimaoka
7,/broadcast,0.0,0.0,-1.0,ontonotes_shimaoka
8,/written_work,0.4000000059604645,0.2857142984867096,0.3333333432674408,ontonotes_shimaoka
9,/transportation/road,0.0,0.0,-1.0,ontonotes_shimaoka
10,/organization/sports_league,0.0,0.0,-1.0,ontonotes_shimaoka
11,/geography,0.0,0.0,-1.0,ontonotes_shimaoka
12,/organization/educational_institution,0.6363636255264282,0.91304349899292,0.75,ontonotes_shimaoka
13,/religion,0.0,0.0,-1.0,ontonotes_shimaoka
14,/title,0.125,0.5,0.2000000029802322,ontonotes_shimaoka
15,/person/politician,0.0,0.0,-1.0,ontonotes_shimaoka
16,/location/body_of_water,0.0,0.0,-1.0,ontonotes_shimaoka
17,/event/election,0.0,0.0,-1.0,ontonotes_shimaoka
18,/event/protest,0.0,0.0,-1.0,ontonotes_shimaoka
19,/news_agency,0.5714285969734192,1.0,0.7272727489471436,ontonotes_shimaoka
20,/person/musician,0.0,0.0,-1.0,ontonotes_shimaoka
21,/person/director,0.0,0.0,-1.0,ontonotes_shimaoka
22,/event/sports_event,0.0,0.0,-1.0,ontonotes_shimaoka
23,/location/province,0.0,0.0,-1.0,ontonotes_shimaoka
24,/building/restaurant,0.0,0.0,-1.0,ontonotes_shimaoka
25,/building/hotel,0.0,0.0,-1.0,ontonotes_shimaoka
26,/person/soldier,0.0,0.0,-1.0,ontonotes_shimaoka
27,/organization/company,0.4468085169792175,0.75,0.559999942779541,ontonotes_shimaoka
28,/park,0.0,0.0,-1.0,ontonotes_shimaoka
29,/living_thing/animal,0.0,0.0,-1.0,ontonotes_shimaoka
30,/internet,0.0,0.0,-1.0,ontonotes_shimaoka
31,/art,0.2926829159259796,0.8571428656578064,0.4363636076450348,ontonotes_shimaoka
32,/disease,0.0,0.0,-1.0,ontonotes_shimaoka
33,/law,0.0,0.0,-1.0,ontonotes_shimaoka
34,/product/mobile_phone,0.0,0.0,-1.0,ontonotes_shimaoka
35,/music,0.0,0.0,-1.0,ontonotes_shimaoka
36,/product/computer,0.0,0.0,-1.0,ontonotes_shimaoka
37,/rail/railway,0.0,0.0,-1.0,ontonotes_shimaoka
38,/game,0.0,0.0,-1.0,ontonotes_shimaoka
39,/building/airport,0.0,0.0,-1.0,ontonotes_shimaoka
40,/organization/sports_team,0.699999988079071,0.6774193644523621,0.688524603843689,ontonotes_shimaoka
41,/government/political_party,0.0,0.0,-1.0,ontonotes_shimaoka
42,/finance/currency,0.0,0.0,-1.0,ontonotes_shimaoka
43,/building,0.0,0.0,-1.0,ontonotes_shimaoka
44,/computer/programming_language,0.0,0.0,-1.0,ontonotes_shimaoka
45,/product/car,0.0,0.0,-1.0,ontonotes_shimaoka
46,/finance/stock_exchange,0.0,0.0,-1.0,ontonotes_shimaoka
47,/person/author,0.0212765950709581,0.5,0.0408163256943225,ontonotes_shimaoka
48,/body_part,0.0,0.0,-1.0,ontonotes_shimaoka
49,/event,0.0909090936183929,0.25,0.1333333402872085,ontonotes_shimaoka
50,/location/country,0.8999999761581421,0.75,0.8181817531585693,ontonotes_shimaoka
51,/language,0.0,0.0,-1.0,ontonotes_shimaoka
52,/art/film,0.0,0.0,-1.0,ontonotes_shimaoka
53,/location/city,0.8157894611358643,0.7948718070983887,0.8051947951316833,ontonotes_shimaoka
54,/government,0.0833333358168602,1.0,0.1538461595773697,ontonotes_shimaoka
55,/product,1.0,0.25,0.4000000059604645,ontonotes_shimaoka
56,/food,0.0,0.0,-1.0,ontonotes_shimaoka
57,/person/artist,0.0133333336561918,0.25,0.0253164581954479,ontonotes_shimaoka
58,/person/athlete,0.0,0.0,-1.0,ontonotes_shimaoka
59,/living_thing,0.0,0.0,-1.0,ontonotes_shimaoka
60,/medicine/medical_treatment,0.3333333432674408,1.0,0.5,ontonotes_shimaoka
61,/organization,0.8734939694404602,0.8841463327407837,0.8787878155708313,ontonotes_shimaoka
62,/person/coach,0.0,0.0,-1.0,ontonotes_shimaoka
63,/event/natural_disaster,0.0,0.0,-1.0,ontonotes_shimaoka
64,/software,0.0,0.0,-1.0,ontonotes_shimaoka
65,/person/religious_leader,0.0,0.0,-1.0,ontonotes_shimaoka
66,/product/weapon,0.0,0.0,-1.0,ontonotes_shimaoka
67,/person/actor,0.0,0.0,-1.0,ontonotes_shimaoka
68,/transit,0.0,0.0,-1.0,ontonotes_shimaoka
69,/play,0.0,0.0,-1.0,ontonotes_shimaoka
70,/geography/mountain,0.0,0.0,-1.0,ontonotes_shimaoka
71,/person/doctor,0.0,0.0,-1.0,ontonotes_shimaoka
72,/building/sports_facility,0.0,0.0,-1.0,ontonotes_shimaoka
73,/location,0.6283783912658691,0.911764681339264,0.7440000176429749,ontonotes_shimaoka
74,/military,0.75,1.0,0.8571428656578064,ontonotes_shimaoka
0,/building/theater,0.0,0.0,-1.0,figer
1,/geography/island,0.0,0.0,-1.0,figer
2,/event/military_conflict,0.0,0.0,-1.0,figer
